,Unnamed: 0,area_type,location,size,society,total_sqft,bath,balcony,price
8821,9080,Plot  Area,Binny Pete,3 BHK,Shestlo,1282,3.0,2.0,178.0
10164,10500,Plot  Area,Anekal,2 BHK,,1200,2.0,1.0,36.1
765,765,Built-up  Area,Old Airport Road,3 BHK,Trnce A,1875,2.0,2.0,110.0
11460,11888,Plot  Area,Wilson Garden,9 BHK,,960,5.0,2.0,130.0
4335,4393,Super built-up  Area,Yemlur,2 BHK,,1355,2.0,1.0,95.0
1566,1573,Super built-up  Area,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,46.0
4299,4357,Plot  Area,Rajaji Nagar,5 BHK,,1200,3.0,1.0,260.0
4385,4446,Plot  Area,Old Town,8 BHK,,750,8.0,,200.0
6712,6862,Carpet  Area,Doddabommasandra,8 BHK,,3150,5.0,2.0,145.0
8880,9145,Plot  Area,Channasandra,4 BHK,,1500,4.0,1.0,89.45
7824,8015,Built-up  Area,Kothanur,3 BHK,Somumys,1790,3.0,0.0,97.0
5340,5430,Super built-up  Area,Dollar Scheme Colony,4 BHK,Vacesi ,3563,6.0,1.0,310.0
9548,9853,Super built-up  Area,Hoodi,1 BHK,Ranuetz,783 - 943,1.0,0.0,40.55
4755,4825,Super built-up  Area,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,54.11
3088,3121,Plot  Area,Gunjur,4 BHK,,2000,3.0,0.0,95.0
1011,1012,Built-up  Area,5th Phase JP Nagar,2 BHK,,1256,2.0,1.0,62.8
4226,4281,Plot  Area,Kaggalipura,3 BHK,AxvamTa,2400,3.0,1.0,165.0
10310,10654,Super built-up  Area,Kachanayakanahalli,2 BHK,ICoolon,827,2.0,0.0,34.0
11987,12451,Plot  Area,2nd Stage Nagarbhavi,6 BHK,,1500,4.0,2.0,233.0
8971,9238,Built-up  Area,Lakshminarayana Pura,2 BHK,RothaVa,1169,2.0,2.0,75.0
4684,4752,Super built-up  Area,Hennur Road,2 BHK,DSeldpr,1081,2.0,1.0,30.27
7532,7713,Super built-up  Area,Hennur Road,2 BHK,Shxorm ,1195,2.0,2.0,73.0
3025,3056,Super built-up  Area,NGR Layout,2 BHK,,1105,2.0,2.0,49.73
8671,8916,Super built-up  Area,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,98.0
11487,11917,Super built-up  Area,Begur,2 BHK,Prorath,815,2.0,1.0,40.0
4352,4410,Super built-up  Area,Varthur,2 BHK,Caiseur,1140,2.0,3.0,55.5
7242,7412,Super built-up  Area,Devanahalli,3 BHK,Oznuean,1450 - 1950,3.0,0.0,88.2
11524,11955,Super built-up  Area,KR Puram,3 BHK,Srystme,1827,3.0,2.0,97.0
6672,6821,Super built-up  Area,BTM Layout,3 BHK,PancyPr,1600,3.0,2.0,112.0
10853,11237,Super built-up  Area,Kengeri Satellite Town,3 BHK,DSestSt,1191,2.0,2.0,33.34
8606,8850,Built-up  Area,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,29.45
9773,10088,Built-up  Area,Gnana Bharathi,9 BHK,,3200,8.0,1.0,130.0
10962,11354,Super built-up  Area,5th Phase JP Nagar,2 BHK,Maodser,1080,2.0,1.0,53.0
11881,12339,Super built-up  Area,Nagarbhavi,2 BHK,,1100,2.0,2.0,46.2
5609,5712,Super built-up  Area,Mallasandra,2 BHK,Shbhi S,905,2.0,1.0,40.0
1345,1349,Plot  Area,KR Puram,2 BHK,,1200,2.0,0.0,71.0
1444,1450,Built-up  Area,Hoodi,3 BHK,Macanr ,1445,3.0,2.0,65.0
3884,3933,Built-up  Area,Electronic City,2 BHK,,1130,2.0,1.0,32.63
6259,6395,Super built-up  Area,5th Phase JP Nagar,2 BHK,,1220,2.0,3.0,88.0
6978,7137,Plot  Area,Magadi Road,5 BHK,,5000,6.0,1.0,360.0
8856,9118,Super built-up  Area,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,3.0,65.93
2422,2438,Super built-up  Area,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,56.35
80,80,Super built-up  Area,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0
6408,6550,Super built-up  Area,Thyagaraja Nagar,5 BHK,,2000,4.0,2.0,145.0
3045,3077,Plot  Area,Sarjapura - Attibele Road,4 BHK,,1800,4.0,,110.0
335,335,Super built-up  Area,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,58.0
6247,6383,Super built-up  Area,Banashankari Stage V,3 BHK,Naiewre,1510,3.0,3.0,47.57
11907,12366,Plot  Area,Dodsworth Layout,3 BHK,Prleaou,5656,5.0,0.0,499.0
9119,9398,Super built-up  Area,HSR Layout,3 BHK,PuontFa,2020,3.0,2.0,160.0
1572,1579,Super built-up  Area,Lakshmi Layout,3 BHK,Cemesti,1390,3.0,1.0,120.0
8772,9022,Super built-up  Area,RR Nagar,1 BHK,,648,1.0,1.0,34.0
11075,11474,Plot  Area,Hulimavu,4 BHK,,1200,4.0,1.0,75.0
879,879,Super built-up  Area,Hosur Road,3 BHK,Sueneu ,1145,2.0,2.0,60.0
2684,2706,Super built-up  Area,Ramagondanahalli,3 BHK,DNeremo,2257,4.0,2.0,157.0
12268,12754,Super built-up  Area,Gopalkrishna Nagar,3 BHK,MJarlPe,1570,2.0,2.0,95.0
1509,1516,Built-up  Area,Whitefield,3 BHK,,1541,3.0,1.0,72.0
1896,1905,Super built-up  Area,2nd Block Hrbr Layout,3 BHK,,1480,3.0,2.0,90.0
5206,5293,Super built-up  Area,Hennur Road,2 BHK,Asadacy,1359,2.0,2.0,104.0
7520,7701,Super built-up  Area,Mysore Road,2 BHK,,1020,2.0,2.0,48.95
3101,3134,Super built-up  Area,Hebbal,4 BHK,Cehosy ,3960,5.0,3.0,386.0
10259,10600,Super built-up  Area,6th Phase JP Nagar,3 BHK,HMinebo,1810,3.0,3.0,131.0
1845,1854,Super built-up  Area,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,119.0
111,111,Super built-up  Area,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0
472,472,Built-up  Area,ITI Employees Layout,4 BHK,,1200,4.0,1.0,230.0
12339,12830,Super built-up  Area,Kanakpura Road,2 BHK,Soazak ,1332,2.0,1.0,108.0
3958,4010,Super built-up  Area,Kumaraswami Layout,2 BHK,Mania G,1000,2.0,1.0,58.0
7691,7876,Plot  Area,Nagarbhavi Garden Villas Layout,4 BHK,,1200,3.0,1.0,180.0
9622,9933,Plot  Area,Basaveshwara Nagar Yelahanka,3 BHK,,3210,4.0,2.0,380.0
5595,5697,Built-up  Area,Shampura,4 BHK,,920,2.0,0.0,90.0
11146,11551,Built-up  Area,Electronic City,2 BHK,,660,1.0,0.0,18.0
10637,11006,Built-up  Area,Hennur Road,4 BHK,Ciris P,1880,4.0,0.0,154.0
1183,1186,Super built-up  Area,Sarjapur  Road,4 BHK,Adeatlm,3335,5.0,2.0,300.0
4870,4947,Super built-up  Area,Mallathahalli,2 BHK,DSvil S,1100,2.0,1.0,46.0
8481,8716,Super built-up  Area,Raghavendra Layout,3 BHK,Muiseek,1499,3.0,2.0,89.0
4253,4309,Super built-up  Area,Sarjapur  Road,3 BHK,Brareio,1592,3.0,1.0,91.0
8798,9054,Built-up  Area,Hosakerehalli Layout,2 BHK,,1080,2.0,3.0,64.0
2108,2119,Super built-up  Area,7th Phase JP Nagar,3 BHK,Vasta C,1405,2.0,2.0,59.01
7874,8067,Super built-up  Area,NGR Layout,2 BHK,BSian M,1020,2.0,1.0,46.0
4436,4498,Super built-up  Area,Koramangala,4 BHK,Prood P,2503,6.0,2.0,325.0
6407,6549,Plot  Area,Shivaji Nagar,1 BHK,,3820,1.0,1.0,306.0
11342,11760,Built-up  Area,Maheswari Nagar,2 BHK,AsensGa,1000,2.0,2.0,60.0
9660,9971,Super built-up  Area,Aavalahalli,2 BHK,,1180,2.0,3.0,41.94
8067,8272,Super built-up  Area,Sarjapur,2 BHK,,1240,2.0,2.0,43.1
3421,3460,Plot  Area,Sarjapur  Road,4 BHK,Adeatlm,4000,5.0,2.0,600.0
9389,9682,Built-up  Area,Nandini Layout,2 BHK,,1200,2.0,1.0,110.0
10612,10980,Super built-up  Area,Thanisandra,3 BHK,Bhe 2ko,1411,3.0,2.0,100.0
4115,4169,Built-up  Area,Maragondanahalli,3 BHK,ArnzaFi,1540,3.0,2.0,68.0
8046,8250,Super built-up  Area,Hegde Nagar,3 BHK,SoitaCa,1847,3.0,2.0,123.0
4336,4394,Super built-up  Area,Avalahalli,1 BHK,ZeodsWo,833,1.0,1.0,49.0
5364,5456,Built-up  Area,Kengeri Satellite Town,4 BHK,,1200,3.0,0.0,110.0
12610,13124,Super built-up  Area,Yeshwanthpur,3 BHK,,1876,3.0,3.0,160.0
4984,5065,Super built-up  Area,Dasarahalli,3 BHK,Prndsde,2100,3.0,3.0,120.0
11811,12265,Super built-up  Area,Bhoganhalli,2 BHK,Rosha I,1277,2.0,1.0,79.89
11448,11875,Built-up  Area,Whitefield,2 BHK,,1216,2.0,1.0,72.0
6193,6323,Super built-up  Area,Magadi Road,3 BHK,Vrenty ,1191,2.0,1.0,55.38
11502,11932,Built-up  Area,Anekal,1 BHK,,420,1.0,1.0,12.5
5020,5103,Built-up  Area,Uttarahalli,2 BHK,TGeepga,1090,2.0,2.0,45.0
3082,3115,Super built-up  Area,7th Phase JP Nagar,3 BHK,SrncyRe,1370,2.0,2.0,54.79
1193,1196,Super built-up  Area,Hosur Road,3 BHK,PuendWe,1510,2.0,1.0,105.0
45,45,Plot  Area,HSR Layout,8 BHK,,600,9.0,,200.0
976,977,Plot  Area,Ramamurthy Nagar,5 BHK,,1640,4.0,3.0,240.0
10373,10723,Super built-up  Area,Kannamangala,3 BHK,Sonue A,1536,3.0,1.0,107.0
3116,3149,Super built-up  Area,Electronic City,3 BHK,Briumri,1652,3.0,2.0,70.0
1578,1585,Super built-up  Area,Srinivasa Nagar,2 BHK,,900,2.0,1.0,55.0
11408,11831,Plot  Area,Banashankari,4 BHK,,2400,4.0,3.0,500.0
12399,12899,Super built-up  Area,Kanakapura,3 BHK,GoityEt,1489,2.0,1.0,70.0
8206,8419,Super built-up  Area,Kanakpura Road,2 BHK,PrityFa,1204,2.0,1.0,82.0
1584,1591,Super built-up  Area,KPC Layout,2 BHK,SVmesVi,1210,2.0,2.0,62.0
9260,9549,Super built-up  Area,Kanakpura Road,3 BHK,PrarePa,1100,3.0,1.0,58.0
10720,11096,Plot  Area,Meenakunte,3 BHK,Sreat R,4395,3.0,3.0,240.0
10913,11300,Plot  Area,Sabari Nagar,2 BHK,,1120,2.0,0.0,60.0
12069,12539,Super built-up  Area,Frazer Town,4 BHK,Emsisy ,4100,4.0,3.0,660.0
7676,7861,Super built-up  Area,Iblur Village,3 BHK,DNionfl,2000,4.0,2.0,138.0
5937,6060,Built-up  Area,Glass Factory Layout,3 BHK,VMlet C,1539,3.0,2.0,60.0
4693,4761,Super built-up  Area,EPIP Zone,4 BHK,BrontLa,3360,5.0,0.0,225.0
4747,4816,Built-up  Area,Gunjur,2 BHK,Paestol,1457,2.0,3.0,60.0
315,315,Plot  Area,Srirampura,5 BHK,,1200,5.0,2.0,180.0
10967,11359,Super built-up  Area,Bannerghatta Road,2 BHK,PrarePa,1200,2.0,2.0,78.0
7475,7656,Super built-up  Area,Hebbal,3 BHK,MVkleiw,1860,3.0,2.0,95.0
7414,7592,Super built-up  Area,Chikkalasandra,3 BHK,,1230,2.0,2.0,53.51
9985,10314,Super built-up  Area,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,95.0
2837,2864,Plot  Area,Singasandra,4 BHK,,525,5.0,2.0,56.0
1624,1631,Super built-up  Area,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,125.0
6194,6324,Super built-up  Area,Thubarahalli,2 BHK,,1200,2.0,2.0,79.0
10788,11168,Super built-up  Area,Talaghattapura,2 BHK,,1062,2.0,1.0,42.48
5908,6026,Super built-up  Area,Harlur,3 BHK,Shodsir,1630,3.0,1.0,95.1
8873,9138,Super built-up  Area,Hebbal,2 BHK,,1150,2.0,1.0,55.0
9036,9309,Super built-up  Area,Kothanur,2 BHK,,1141,2.0,2.0,54.0
10694,11068,Built-up  Area,Byrathi Village,2 BHK,,800,1.0,3.0,95.0
9060,9335,Super built-up  Area,Thanisandra,2 BHK,Bhmesy ,933,2.0,1.0,55.0
4536,4600,Super built-up  Area,Rajiv Nagar,4 BHK,PuoodSk,2340,5.0,1.0,129.0
1071,1072,Plot  Area,Whitefield,2 BHK,,1200,2.0,1.0,45.84
6870,7028,Super built-up  Area,Kadabagere,2 BHK,Jahipa ,675,1.0,1.0,15.0
8742,8990,Super built-up  Area,Hormavu,2 BHK,,765,2.0,1.0,37.49
12382,12879,Built-up  Area,Bannerghatta Road,2 BHK,Malmser,1206,2.0,3.0,53.0
2404,2420,Super built-up  Area,Kammasandra,2 BHK,PaigeMa,1018,2.0,0.0,23.45
10619,10987,Super built-up  Area,Lavakusha Nagar,3 BHK,Vanusn ,1545,3.0,2.0,65.0
8655,8900,Built-up  Area,Whitefield,2 BHK,,1240,2.0,2.0,70.0
409,409,Plot  Area,Sultan Palaya,2 BHK,,550,1.0,1.0,62.0
4467,4529,Plot  Area,Old Madras Road,4 BHK,,2600,4.0,,260.0
37,37,Super built-up  Area,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0
3290,3329,Built-up  Area,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,120.0
576,576,Super built-up  Area,Marathahalli,2 BHK,Aahts H,1230,2.0,2.0,80.0
11529,11961,Super built-up  Area,Kanakapura,3 BHK,SPavenc,1290,2.0,3.0,38.69
9019,9291,Super built-up  Area,Electronics City Phase 1,2 BHK,Maavera,1314,2.0,2.0,60.0
8156,8367,Super built-up  Area,Frazer Town,4 BHK,Asuilnc,3436,5.0,,345.0
713,713,Super built-up  Area,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,54.0
12592,13103,Super built-up  Area,Gottigere,2 BHK,i1ncyRe,1200,2.0,2.0,50.0
10482,10840,Built-up  Area,Electronic City Phase II,3 BHK,SNbay G,1940,4.0,3.0,116.0
1087,1088,Super built-up  Area,Basapura,2 BHK,RMncy R,1200,2.0,2.0,35.0
5431,5526,Built-up  Area,Jigani,2 BHK,DLhtsan,918,2.0,1.0,49.0
2335,2349,Plot  Area,Margondanahalli,2 BHK,,1200,2.0,1.0,58.5
12491,12993,Built-up  Area,Judicial Layout,5 BHK,,1100,4.0,3.0,199.0
9112,9390,Plot  Area,Chikka Tirupathi,3 BHK,,1555,3.0,1.0,100.0
12560,13068,Super built-up  Area,Bommasandra,3 BHK,SSestth,1365,3.0,1.0,53.96
1454,1460,Super built-up  Area,Akshaya Nagar,3 BHK,,1360,2.0,2.0,85.0
7222,7391,Super built-up  Area,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,49.3
10024,10353,Super built-up  Area,Kothanur,2 BHK,,1160,2.0,2.0,57.0
5271,5359,Plot  Area,Kurubarahalli,3 BHK,,1200,3.0,0.0,70.0
881,881,Super built-up  Area,Sarjapur  Road,2 BHK,Adeatlm,1278,2.0,2.0,95.0
1710,1718,Super built-up  Area,2Electronic City Phase II,27 BHK,,8000,27.0,0.0,230.0
7792,7981,Super built-up  Area,Marathahalli,2 BHK,Srers T,1200,2.0,1.0,53.0
3680,3723,Super built-up  Area,Hebbal Kempapura,2 BHK,,1150,2.0,2.0,40.0
8937,9203,Super built-up  Area,7th Phase JP Nagar,2 BHK,Brnia G,980,2.0,1.0,86.0
11026,11421,Super built-up  Area,Devasandra Extension,2 BHK,,1090,2.0,2.0,32.0
5833,5946,Plot  Area,Wilson Garden,6 BHK,,4000,6.0,3.0,850.0
2245,2257,Built-up  Area,Upkar Layout,1 BHK,,1050,1.0,1.0,70.0
3043,3075,Super built-up  Area,Rajaji Nagar,4 BHK,,3100,4.0,2.0,570.0
4156,4211,Built-up  Area,Jayanagar,2 BHK,,900,2.0,2.0,110.0
12785,13312,Super built-up  Area,Bellandur,2 BHK,,1262,2.0,2.0,47.0
12417,12917,Built-up  Area,Horamavu Agara,3 BHK,,1400,3.0,3.0,63.0
3886,3936,Built-up  Area,Ardendale,5 BHK,,4355,3.0,1.0,350.0
7523,7704,Plot  Area,Hoysalanagar,6 BHK,,1200,4.0,2.0,90.0
6630,6779,Super built-up  Area,"TR Mill Road, Chamarajpet",2 BHK,,1175,2.0,2.0,79.0
239,239,Built-up  Area,Kullappa Colony,2 BHK,,1060,2.0,2.0,60.0
7749,7934,Built-up  Area,Vishwapriya Nagar,4 BHK,,2800,4.0,1.0,200.0
3027,3058,Super built-up  Area,Kasavanhalli,2 BHK,TRensre,1200,2.0,2.0,50.0
8084,8290,Super built-up  Area,Hennur,2 BHK,,1100,2.0,1.0,44.55
1597,1604,Plot  Area,Cooke Town,3 BHK,,2572,3.0,3.0,390.0
7553,7734,Built-up  Area,Kada Agrahara,3 BHK,CoaveAt,909,2.0,1.0,43.0
1097,1098,Super built-up  Area,Mango Garden Layout,3 BHK,Ceral C,1824,3.0,3.0,125.0
394,394,Built-up  Area,Ashirvad Colony,2 BHK,VMowsea,1460,2.0,1.0,58.0
10857,11242,Super built-up  Area,Yelahanka,2 BHK,,1140,2.0,1.0,50.66
1901,1910,Super built-up  Area,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,64.0
3059,3091,Super built-up  Area,Hennur Road,2 BHK,Maity W,1385,2.0,1.0,83.09
11531,11963,Super built-up  Area,Whitefield,2 BHK,,1158,2.0,1.0,55.0
1180,1183,Super built-up  Area,Magadi Road,2 BHK,Vrenty ,884 - 1116,2.0,0.0,46.5
7501,7682,Built-up  Area,Whitefield,3 BHK,Agtiaur,1806,3.0,3.0,85.0
1911,1920,Super built-up  Area,Bommasandra Industrial Area,2 BHK,,1030,2.0,1.0,41.0
9677,9988,Super built-up  Area,New Gurappana Palya,3 BHK,,1250,3.0,2.0,40.0
8364,8588,Super built-up  Area,Reliaable Tranquil Layout,2 BHK,Sariana,1256,2.0,1.0,65.0
2214,2226,Super built-up  Area,Kaggadasapura,3 BHK,Foity S,1350,3.0,1.0,55.5
7915,8108,Super built-up  Area,Vittasandra,2 BHK,,1259,2.0,1.0,67.48
5414,5509,Super built-up  Area,Bommanahalli,2 BHK,Jaw 2 L,1050,2.0,2.0,46.0
8106,8314,Plot  Area,Gattigere,5 BHK,,900,6.0,1.0,95.0
12459,12961,Built-up  Area,Kavika Layout,6 BHK,,1799,6.0,3.0,101.0
9230,9519,Built-up  Area,Bommenahalli,3 BHK,Prood G,2940Sq. Yards,3.0,1.0,232.0
4365,4424,Super built-up  Area,Venugopal Reddy Layout,3 BHK,Patust ,1545,3.0,3.0,85.0
9117,9395,Built-up  Area,Sarjapur  Road,3 BHK,,1450,2.0,1.0,75.0
10752,11130,Super built-up  Area,KR Puram,2 BHK,Gasom B,1204,2.0,2.0,58.0
3702,3745,Plot  Area,Chandra Layout,2 BHK,,815,3.0,2.0,160.0
11283,11698,Super built-up  Area,Bellandur,2 BHK,,1251,2.0,3.0,47.0
3467,3506,Plot  Area,Manjunath Nagar,5 BHK,,1200,5.0,1.0,185.0
6249,6385,Super built-up  Area,Kundalahalli,2 BHK,Rasom B,1120,2.0,1.0,53.76
1691,1699,Built-up  Area,9th Phase JP Nagar,3 BHK,ImiteEl,1890,2.0,2.0,85.0
6210,6341,Built-up  Area,Uttarahalli,3 BHK,,1480,2.0,1.0,58.0
4975,5056,Super built-up  Area,Mico Layout,2 BHK,Inasy E,1125,2.0,2.0,40.0
123,123,Built-up  Area,Shampura,4 BHK,,2650,4.0,2.0,150.0
7506,7687,Built-up  Area,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,40.08
1952,1961,Super built-up  Area,5th Phase JP Nagar,2 BHK,,1440,2.0,2.0,60.0
11711,12157,Plot  Area,Jinkethimmanahalli,2 BHK,,1200,2.0,1.0,68.0
6551,6696,Super built-up  Area,Sarjapur  Road,3 BHK,Adeatlm,2145,3.0,3.0,180.0
3842,3890,Super built-up  Area,Tumkur Road,3 BHK,Coowsri,1210 - 1477,3.0,0.0,57.76
3919,3971,Super built-up  Area,Akshayanagara West,2 BHK,Ajomaa ,1205,2.0,2.0,60.0
5466,5563,Super built-up  Area,Mahadevpura,2 BHK,3Codeli,1475,2.0,2.0,55.0
7514,7695,Built-up  Area,Akshaya Nagar,3 BHK,DLhtsnd,1434,3.0,3.0,84.0
3404,3443,Super built-up  Area,Sector 2 HSR Layout,2 BHK,,1143,2.0,2.0,65.0
3000,3030,Plot  Area,Ambedkar Nagar,5 BHK,Thessrm,5530,5.0,3.0,627.0
906,906,Super built-up  Area,BAGUR,1 BHK,,686,1.0,1.0,17.0
6942,7101,Super built-up  Area,Kudlu Gate,3 BHK,Brlms P,1656,3.0,2.0,80.0
11862,12320,Super built-up  Area,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.79
10667,11040,Super built-up  Area,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,45.0
10347,10696,Built-up  Area,Sompura,2 BHK,Suiseit,825,2.0,1.0,32.0
12149,12623,Built-up  Area,Harlur,2 BHK,,1370,2.0,2.0,88.0
8912,9177,Super built-up  Area,Doddakammanahalli,3 BHK,URodsmb,1119,2.0,1.0,48.5
7249,7419,Super built-up  Area,Hanumantha Nagar,2 BHK,,2400,2.0,3.0,125.0
7435,7614,Plot  Area,Hennur Road,5 BHK,,1500,5.0,1.0,175.0
1891,1900,Super built-up  Area,Uttarahalli,2 BHK,,993,2.0,1.0,39.71
4288,4346,Super built-up  Area,Whitefield,3 BHK,Prtates,1650 - 2538,,,113.19
8846,9106,Super built-up  Area,Uttarahalli,3 BHK,Omy 2es,1265,2.0,2.0,65.0
7669,7853,Built-up  Area,Whitefield,3 BHK,,1991,3.0,2.0,104.0
295,295,Super built-up  Area,Jakkur,2 BHK,Arzzo P,1417,2.0,3.0,75.0
1046,1047,Super built-up  Area,Brookefield,3 BHK,Krrbsil,2169,4.0,,115.0
2919,2946,Plot  Area,Popular Colony,2 BHK,,1300,2.0,0.0,54.0
11814,12268,Plot  Area,Sarjapur,4 BHK,Peora P,2400,3.0,3.0,140.0
2982,3011,Built-up  Area,Kaval Byrasandra,2 BHK,KuncyRe,1060,2.0,2.0,45.0
1785,1794,Super built-up  Area,Byrasandra,3 BHK,ViisePa,1690,2.0,2.0,55.0
12256,12740,Super built-up  Area,Kuvempu Nagar,2 BHK,,1375,2.0,1.0,45.0
286,286,Built-up  Area,Kalena Agrahara,2 BHK,Nae 2El,1200,2.0,1.0,40.0
6728,6879,Super built-up  Area,Nagavarapalya,1 BHK,PuonsSe,705,1.0,1.0,57.0
11226,11637,Super built-up  Area,Whitefield,3 BHK,Iseenst,1436,2.0,3.0,62.15
1758,1767,Super built-up  Area,Whitefield,2 BHK,BruntPa,1420,2.0,2.0,136.0
10909,11296,Super built-up  Area,Varthur,3 BHK,DSingSt,1737,2.0,1.0,57.32
1284,1287,Super built-up  Area,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,290.0
7706,7891,Super built-up  Area,Singasandra,2 BHK,,1120,2.0,1.0,60.0
8145,8355,Super built-up  Area,Kengeri,1 BHK,VBn 2lm,416,1.0,1.0,18.0
10803,11184,Plot  Area,Attibele,3 BHK,AkArkti,1200,3.0,,110.0
4092,4146,Built-up  Area,NRI Layout,2 BHK,,650,2.0,0.0,59.0
10679,11052,Super built-up  Area,Bhoganhalli,3 BHK,Rosha I,1610,3.0,2.0,84.53
9964,10292,Super built-up  Area,Thigalarapalya,4 BHK,Prtanha,4190,4.0,,325.0
5614,5717,Super built-up  Area,Jakkur,4 BHK,SoineC ,3405.1,6.0,3.0,400.0
8167,8379,Super built-up  Area,Kothannur,2 BHK,,1070,2.0,2.0,38.6
10995,11389,Super built-up  Area,Electronic City Phase II,4 BHK,SNbay G,2150 - 2225,4.0,0.0,105.0
549,549,Super built-up  Area,Hennur Road,2 BHK,Shxorm ,1195 - 1440,2.0,0.0,63.77
3143,3178,Super built-up  Area,Garudachar Palya,3 BHK,,1320,2.0,2.0,60.6
10284,10627,Built-up  Area,Nagappa Reddy Layout,3 BHK,Sanorpa,1350,3.0,2.0,60.0
10571,10937,Plot  Area,Thirumenahalli,2 BHK,,2100,1.0,1.0,200.0
4807,4878,Built-up  Area,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,33.06
3488,3527,Plot  Area,Banashankari Stage III,8 BHK,,1200,7.0,2.0,350.0
10774,11154,Super built-up  Area,Telecom Layout,2 BHK,,1200,2.0,1.0,54.0
10364,10714,Super built-up  Area,Banashankari,3 BHK,Bregae ,1770,3.0,3.0,108.0
3037,3069,Super built-up  Area,Yelahanka,2 BHK,Rarthne,915,2.0,2.0,48.0
11925,12386,Plot  Area,Sidedahalli,2 BHK,,1200,1.0,0.0,50.0
3852,3900,Super built-up  Area,Varthur,2 BHK,DSingSt,1111,2.0,2.0,41.88
2586,2607,Built-up  Area,Kanakpura Road,2 BHK,,1050,2.0,1.0,35.0
11289,11704,Super built-up  Area,Hormavu,2 BHK,ARaveSa,1206,2.0,1.0,55.0
11571,12006,Super built-up  Area,Jayanagar,3 BHK,PrianM ,2240,3.0,2.0,300.0
5284,5373,Super built-up  Area,Kattigenahalli,2 BHK,Vehida ,1062,2.0,2.0,47.0
9436,9737,Built-up  Area,Ngef Layout,4 BHK,,2100,3.0,1.0,1000.0
