,area_type,size,total_sqft,bath,balcony,price
88,Super built-up  Area,2 BHK,1060.0,2.0,2.0,58.06
89,Plot  Area,6 BHK,710.0,6.0,3.0,160.0
90,Built-up  Area,2 BHK,1000.0,2.0,2.0,70.0
91,Super built-up  Area,2 BHK,1000.0,2.0,1.0,28.88
92,Super built-up  Area,3 BHK,1450.0,2.0,2.0,70.0
93,Plot  Area,4 BHK,1200.0,4.0,2.0,155.0
94,Super built-up  Area,2 BHK,1296.0,2.0,3.0,80.0
95,Super built-up  Area,3 BHK,1540.0,3.0,2.0,90.0
96,Plot  Area,4 BHK,2894.0,4.0,1.0,245.0
97,Super built-up  Area,3 BHK,1330.0,2.0,1.0,48.0
98,Built-up  Area,2 BHK,1200.0,2.0,1.0,65.0
99,Built-up  Area,3 BHK,1200.0,3.0,1.0,90.0
100,Super built-up  Area,3 BHK,2502.0,3.0,3.0,138.0
101,Built-up  Area,2 BHK,650.0,1.0,1.0,17.0
102,Plot  Area,3 BHK,2400.0,2.0,1.0,150.0
103,Super built-up  Area,2 BHK,1007.0,2.0,2.0,43.0
104,Super built-up  Area,2 BHK,1200.0,2.0,2.0,50.0
105,Super built-up  Area,2 BHK,966.0,2.0,2.0,49.9
106,Built-up  Area,3 BHK,1630.0,2.0,1.0,98.0
107,Built-up  Area,3 BHK,1640.0,3.0,2.0,229.0
108,Built-up  Area,2 BHK,782.0,2.0,2.0,55.68
109,Super built-up  Area,2 BHK,1260.0,2.0,2.0,66.78
110,Super built-up  Area,3 BHK,1800.0,3.0,3.0,120.0
111,Super built-up  Area,3 BHK,1413.0,2.0,2.0,75.0
112,Super built-up  Area,2 BHK,1116.0,2.0,1.0,51.91
113,Super built-up  Area,3 BHK,1530.0,2.0,1.0,45.9
114,Built-up  Area,4 BHK,3700.0,4.0,1.0,225.0
115,Built-up  Area,3 BHK,2497.0,3.0,2.0,140.0
116,Super built-up  Area,3 BHK,1540.0,2.0,3.0,64.0
117,Super built-up  Area,3 BHK,1436.0,3.0,1.0,74.75
118,Super built-up  Area,2 BHK,1100.0,2.0,2.0,75.0
119,Plot  Area,2 BHK,276.0,3.0,3.0,23.0
120,Super built-up  Area,3 BHK,1427.0,3.0,2.0,120.0
121,Super built-up  Area,3 BHK,2061.0,3.0,1.0,200.0
122,Super built-up  Area,4 BHK,5611.5,4.0,0.0,477.0
123,Built-up  Area,4 BHK,2650.0,4.0,2.0,150.0
124,Super built-up  Area,3 BHK,1282.0,2.0,2.0,68.52
125,Built-up  Area,2 BHK,1050.0,2.0,1.0,34.0
126,Built-up  Area,3 BHK,1600.0,3.0,2.0,65.0
127,Super built-up  Area,2 BHK,945.0,2.0,1.0,54.0
128,Super built-up  Area,2 BHK,1500.0,2.0,1.0,78.0
129,Plot  Area,7 BHK,950.0,7.0,0.0,115.0
130,Built-up  Area,3 BHK,1870.0,3.0,3.0,110.0
131,Plot  Area,3 BHK,1600.0,3.0,1.0,75.0
132,Super built-up  Area,2 BHK,880.0,1.0,1.0,16.5
133,Plot  Area,4 BHK,1200.0,4.0,0.0,210.0
134,Super built-up  Area,3 BHK,1535.0,3.0,2.0,83.0
135,Built-up  Area,2 BHK,950.0,2.0,1.0,57.0
136,Super built-up  Area,2 BHK,1360.0,2.0,1.0,65.0
137,Super built-up  Area,2 BHK,1073.5,2.0,0.0,54.005
138,Super built-up  Area,3 BHK,1280.0,3.0,1.0,50.4
139,Super built-up  Area,3 BHK,1260.0,2.0,2.0,85.05
140,Built-up  Area,8 BHK,5000.0,8.0,,250.0
141,Super built-up  Area,5 BHK,3050.0,5.0,1.0,213.0
142,Super built-up  Area,3 BHK,1563.05,3.0,1.0,105.0
143,Super built-up  Area,2 BHK,1000.0,2.0,1.0,60.0
144,Super built-up  Area,2 BHK,1167.0,2.0,1.0,43.76
145,Super built-up  Area,7 BHK,4000.0,7.0,2.0,225.0
146,Super built-up  Area,3 BHK,1828.0,3.0,,110.0
147,Super built-up  Area,2 BHK,890.0,2.0,1.0,35.0
148,Super built-up  Area,3 BHK,1612.0,3.0,3.0,46.74
149,Plot  Area,6 BHK,1034.0,5.0,,185.0
150,Super built-up  Area,3 BHK,1710.0,4.0,2.0,91.31
151,Super built-up  Area,2 BHK,957.0,2.0,1.0,58.0
152,Super built-up  Area,3 BHK,1250.0,2.0,3.0,44.0
153,Super built-up  Area,3 BHK,2795.0,4.0,,235.0
154,Super built-up  Area,2 BHK,1125.0,2.0,2.0,50.0
155,Super built-up  Area,2 BHK,1020.0,2.0,1.0,30.6
156,Super built-up  Area,2 BHK,1200.0,2.0,2.0,50.0
157,Super built-up  Area,3 BHK,1735.0,3.0,3.0,135.0
158,Super built-up  Area,3 BHK,2050.0,3.0,1.0,145.0
159,Plot  Area,4 BHK,3750.0,4.0,0.0,760.0
160,Built-up  Area,3 BHK,1350.0,2.0,3.0,48.0
161,Super built-up  Area,2 BHK,1063.0,2.0,1.0,32.0
162,Super built-up  Area,3 BHK,1904.0,3.0,1.0,150.0
163,Built-up  Area,4 BHK,4200.0,4.0,2.0,420.0
164,Super built-up  Area,3 BHK,2000.0,3.0,1.0,175.0
165,Super built-up  Area,2 BHK,1242.5,2.0,0.0,43.49
166,Super built-up  Area,3 BHK,1425.0,2.0,2.0,75.0
167,Super built-up  Area,3 BHK,1500.0,2.0,1.0,64.5
168,Built-up  Area,2 BHK,1060.0,2.0,1.0,60.0
169,Built-up  Area,3 BHK,1470.0,2.0,2.0,70.0
170,Super built-up  Area,6 BHK,1300.0,6.0,0.0,99.0
171,Super built-up  Area,1 BHK,450.0,1.0,1.0,11.0
172,Super built-up  Area,2 BHK,1152.0,2.0,1.0,64.5
173,Super built-up  Area,3 BHK,1350.0,2.0,1.0,56.0
174,Super built-up  Area,3 BHK,1550.0,3.0,3.0,65.0
175,Plot  Area,3 BHK,1500.0,3.0,2.0,100.0
176,Plot  Area,5 BHK,600.0,3.0,2.0,85.0
177,Plot  Area,1 BHK,400.0,1.0,0.0,14.0
178,Super built-up  Area,1 BHK,705.0,1.0,2.0,67.0
179,Built-up  Area,2 BHK,770.0,1.0,1.0,36.0
180,Super built-up  Area,2 BHK,1242.0,2.0,3.0,51.0
181,Super built-up  Area,3 BHK,1700.0,3.0,2.0,155.0
182,Super built-up  Area,3 BHK,2144.0,3.0,2.0,145.0
183,Super built-up  Area,3 BHK,1704.0,3.0,2.0,110.0
184,Super built-up  Area,2 BHK,1070.0,2.0,1.0,52.0
185,Plot  Area,3 BHK,1846.0,3.0,2.0,300.0
186,Super built-up  Area,2 BHK,1340.0,2.0,2.0,55.7
187,Built-up  Area,2 BHK,1025.0,2.0,1.0,46.0
188,Super built-up  Area,2 BHK,1277.5,2.0,0.0,56.8
189,Super built-up  Area,2 BHK,1200.0,2.0,2.0,52.0
190,Built-up  Area,4 BHK,2250.0,4.0,1.0,110.0
191,Super built-up  Area,3 BHK,1550.0,2.0,3.0,80.0
192,Plot  Area,4 BHK,1200.0,5.0,,325.0
193,Plot  Area,7 BHK,1800.0,7.0,1.0,250.0
194,Super built-up  Area,2 BHK,1200.0,2.0,2.0,60.0
195,Super built-up  Area,2 BHK,1327.0,2.0,2.0,98.0
196,Super built-up  Area,2 BHK,1186.0,2.0,2.0,58.0
197,Built-up  Area,3 BHK,1783.0,3.0,1.0,115.0
198,Super built-up  Area,3 BHK,1400.0,3.0,2.0,56.0
199,Super built-up  Area,2 BHK,980.0,2.0,1.0,48.0
200,Super built-up  Area,2 BHK,1285.0,2.0,2.0,82.0
201,Super built-up  Area,3 BHK,912.0,2.0,1.0,70.0
202,Built-up  Area,2 BHK,1225.0,2.0,2.0,47.6
203,Super built-up  Area,2 BHK,1075.0,2.0,1.0,53.0
204,Built-up  Area,3 BHK,1260.0,2.0,2.0,54.0
205,Super built-up  Area,3 BHK,1282.0,2.0,2.0,48.7
206,Super built-up  Area,3 BHK,1909.0,3.0,2.0,88.0
207,Super built-up  Area,2 BHK,1359.0,2.0,1.0,87.0
208,Built-up  Area,2 BHK,1207.0,2.0,2.0,43.5
209,Plot  Area,4 BHK,1736.0,6.0,0.0,190.0
210,Super built-up  Area,4 BHK,2850.0,4.0,1.0,428.0
211,Super built-up  Area,3 BHK,1595.0,3.0,2.0,65.0
212,Built-up  Area,3 BHK,1798.0,3.0,2.0,89.0
213,Super built-up  Area,3 BHK,1475.0,3.0,2.0,78.29
214,Super built-up  Area,3 BHK,1580.0,3.0,3.0,100.0
215,Super built-up  Area,2 BHK,1295.0,2.0,1.0,65.0
216,Built-up  Area,6 BHK,3600.0,6.0,0.0,141.0
217,Super built-up  Area,1 BHK,589.0,1.0,1.0,27.0
218,Super built-up  Area,3 BHK,1415.0,3.0,3.0,78.0
219,Super built-up  Area,3 BHK,1787.0,3.0,2.0,98.29
220,Super built-up  Area,3 BHK,1787.0,3.0,2.0,125.0
221,Super built-up  Area,3 BHK,1475.0,2.0,3.0,90.0
222,Built-up  Area,4 BHK,2000.0,4.0,1.0,75.5
223,Super built-up  Area,2 BHK,984.0,2.0,1.0,44.28
224,Super built-up  Area,3 BHK,1630.0,,,74.82
225,Super built-up  Area,3 BHK,2405.0,4.0,2.0,260.0
226,Built-up  Area,2 BHK,1080.0,2.0,2.0,72.0
227,Plot  Area,2 BHK,1500.0,2.0,1.0,115.0
228,Super built-up  Area,3 BHK,1900.0,3.0,2.0,119.0
229,Super built-up  Area,2 BHK,805.0,2.0,1.0,22.14
230,Super built-up  Area,2 BHK,1153.0,2.0,2.0,56.4
231,Super built-up  Area,2 BHK,1148.0,2.0,2.0,60.0
232,Super built-up  Area,2 BHK,1110.0,2.0,2.0,55.0
233,Built-up  Area,2 BHK,1100.0,2.0,2.0,42.0
234,Super built-up  Area,2 BHK,1290.0,2.0,2.0,110.0
235,Super built-up  Area,3 BHK,1500.0,2.0,1.0,65.0
236,Super built-up  Area,2 BHK,1080.0,2.0,2.0,39.0
237,Super built-up  Area,3 BHK,1933.0,3.0,1.0,129.0
238,Built-up  Area,5 BHK,3500.0,5.0,2.0,150.0
239,Built-up  Area,2 BHK,1060.0,2.0,2.0,60.0
240,Super built-up  Area,1 BHK,645.0,1.0,1.0,16.45
241,Plot  Area,8 BHK,2600.0,8.0,2.0,180.0
242,Super built-up  Area,1 BHK,645.0,1.0,1.0,16.45
243,Super built-up  Area,3 BHK,1644.0,3.0,3.0,84.0
244,Super built-up  Area,2 BHK,1285.0,2.0,3.0,72.5
245,Plot  Area,3 BHK,1200.0,3.0,1.0,90.0
246,Super built-up  Area,2 BHK,910.0,2.0,1.0,40.0
247,Super built-up  Area,3 BHK,1577.0,3.0,1.0,70.0
248,Plot  Area,3 BHK,4050.0,3.0,2.0,280.0
249,Super built-up  Area,3 BHK,2420.0,3.0,2.0,185.0
250,Super built-up  Area,2 BHK,800.0,1.0,1.0,20.0
251,Built-up  Area,2 BHK,1060.0,2.0,2.0,55.0
252,Super built-up  Area,2 BHK,1270.0,2.0,2.0,93.0
253,Super built-up  Area,2 BHK,900.0,2.0,2.0,22.5
254,Built-up  Area,2 BHK,1280.0,2.0,1.0,69.0
255,Plot  Area,4 BHK,1200.0,2.0,0.0,95.0
256,Built-up  Area,2 BHK,1025.0,2.0,2.0,36.0
257,Super built-up  Area,2 BHK,1108.0,2.0,1.0,63.0
258,Plot  Area,5 BHK,1200.0,5.0,,170.0
259,Super built-up  Area,3 BHK,3045.0,3.0,2.0,170.0
260,Plot  Area,4 BHK,2900.0,3.0,2.0,300.0
261,Super built-up  Area,3 BHK,1500.0,3.0,2.0,75.5
262,Super built-up  Area,2 BHK,1295.0,2.0,2.0,43.9
263,Super built-up  Area,2 BHK,1162.0,2.0,1.0,59.9
264,Super built-up  Area,2 BHK,1035.0,2.0,2.0,49.2
265,Built-up  Area,4 BHK,1600.0,4.0,0.0,52.8
266,Super built-up  Area,3 BHK,1464.0,3.0,2.0,46.0
267,Super built-up  Area,3 BHK,1866.0,2.0,2.0,61.58
268,Super built-up  Area,2 BHK,700.0,1.0,1.0,26.0
269,Super built-up  Area,3 BHK,1804.0,3.0,2.0,120.0
270,Super built-up  Area,2 BHK,913.0,2.0,1.0,32.0
271,Super built-up  Area,3 BHK,1868.0,3.0,2.0,131.0
272,Built-up  Area,2 BHK,883.0,2.0,1.0,45.0
273,Plot  Area,2 BHK,900.0,2.0,1.0,110.0
274,Super built-up  Area,3 BHK,1664.0,2.0,3.0,73.95
275,Super built-up  Area,3 BHK,2026.0,3.0,2.0,132.0
276,Super built-up  Area,2 BHK,1210.0,2.0,1.0,80.9
277,Plot  Area,4 BHK,4111.0,4.0,2.0,250.0
278,Super built-up  Area,3 BHK,1762.0,3.0,3.0,91.45
279,Super built-up  Area,3 BHK,1252.0,3.0,3.0,55.0
280,Built-up  Area,2 BHK,861.0,2.0,1.0,34.5
281,Built-up  Area,3 BHK,1420.0,2.0,1.0,100.0
282,Plot  Area,6 BHK,1450.0,6.0,0.0,250.0
283,Built-up  Area,3 BHK,1490.0,3.0,1.0,78.8
284,Super built-up  Area,3 BHK,1075.0,2.0,1.0,46.0
285,Super built-up  Area,3 BHK,1425.0,2.0,2.0,94.0
286,Built-up  Area,2 BHK,1200.0,2.0,1.0,40.0
287,Super built-up  Area,3 BHK,1280.0,2.0,2.0,56.0
288,Super built-up  Area,2 BHK,1084.0,2.0,2.0,50.0
289,Super built-up  Area,2 BHK,1015.0,2.0,2.0,25.88
290,Super built-up  Area,2 BHK,1017.0,2.0,1.0,51.25
291,Super built-up  Area,2 BHK,1027.0,2.0,2.0,44.0
292,Super built-up  Area,2 BHK,1069.0,2.0,2.0,45.0
293,Super built-up  Area,2 BHK,1349.0,2.0,1.0,98.2
294,Super built-up  Area,2 BHK,1005.0,2.0,1.0,50.0
295,Super built-up  Area,2 BHK,1417.0,2.0,3.0,75.0
296,Plot  Area,3 BHK,1475.0,3.0,1.0,98.0
297,Carpet  Area,2 BHK,950.0,2.0,2.0,47.0
298,Super built-up  Area,4 BHK,2000.0,4.0,0.0,120.0
299,Plot  Area,3 BHK,880.0,3.0,1.0,140.0
300,Super built-up  Area,4 BHK,1863.0,3.0,2.0,104.0
301,Super built-up  Area,2 BHK,1010.0,2.0,1.0,29.5
302,Super built-up  Area,3 BHK,1425.0,2.0,1.0,70.0
303,Super built-up  Area,3 BHK,1450.0,3.0,0.0,100.0
304,Super built-up  Area,3 BHK,1847.0,3.0,2.0,105.0
305,Super built-up  Area,2 BHK,1100.0,2.0,3.0,45.0
306,Super built-up  Area,1 BHK,525.0,1.0,1.0,26.0
307,Super built-up  Area,3 BHK,1665.0,3.0,2.0,95.0
308,Super built-up  Area,4 BHK,1664.0,4.0,3.0,65.0
309,Super built-up  Area,3 BHK,1850.0,3.0,3.0,150.0
310,Super built-up  Area,2 BHK,1438.0,2.0,3.0,100.0
311,Super built-up  Area,3 BHK,1560.0,3.0,3.0,115.0
312,Super built-up  Area,2 BHK,1350.0,2.0,1.0,55.55
313,Super built-up  Area,3 BHK,1550.0,3.0,3.0,67.0
314,Super built-up  Area,2 BHK,1140.0,2.0,2.0,46.5
315,Plot  Area,5 BHK,1200.0,5.0,2.0,180.0
316,Super built-up  Area,2 BHK,850.0,2.0,2.0,27.0
317,Super built-up  Area,2 BHK,1280.0,2.0,2.0,75.0
318,Built-up  Area,2 BHK,1170.0,2.0,2.0,52.0
319,Super built-up  Area,2 BHK,1113.0,2.0,1.0,51.0
320,Super built-up  Area,2 BHK,1385.0,2.0,1.0,83.09
321,Super built-up  Area,2 BHK,1128.0,2.0,1.0,65.0
322,Plot  Area,2 BHK,1200.0,2.0,2.0,128.0
323,Plot  Area,4 BHK,1200.0,4.0,3.0,165.0
324,Super built-up  Area,3 BHK,2390.0,3.0,2.0,415.0
325,Plot  Area,4 BHK,2400.0,4.0,1.0,400.0
326,Super built-up  Area,3 BHK,1464.0,3.0,2.0,56.0
327,Super built-up  Area,2 BHK,1200.0,2.0,2.0,55.0
328,Super built-up  Area,2 BHK,1200.0,2.0,2.0,52.0
329,Super built-up  Area,3 BHK,1150.0,2.0,1.0,55.0
330,Built-up  Area,3 BHK,1645.0,3.0,2.0,95.0
331,Super built-up  Area,2 BHK,1000.0,2.0,1.0,67.0
332,Plot  Area,4 BHK,2650.0,4.0,2.0,198.0
333,Super built-up  Area,2 BHK,1192.0,2.0,2.0,74.0
334,Super built-up  Area,3 BHK,2135.0,3.0,2.0,215.0
335,Super built-up  Area,2 BHK,1173.0,2.0,1.0,58.0
336,Built-up  Area,2 BHK,1020.0,2.0,2.0,45.0
337,Super built-up  Area,4 BHK,3122.0,6.0,2.0,230.0
338,Super built-up  Area,3 BHK,1600.0,3.0,3.0,64.0
339,Plot  Area,2 BHK,1200.0,2.0,0.0,79.0
340,Carpet  Area,2 BHK,1230.0,2.0,3.0,48.0
341,Super built-up  Area,2 BHK,1250.0,2.0,2.0,40.0
342,Super built-up  Area,2 BHK,1325.0,2.0,2.0,76.0
343,Built-up  Area,3 BHK,1850.0,3.0,1.0,150.0
344,Super built-up  Area,1 BHK,525.0,,,21.53
345,Super built-up  Area,2 BHK,1200.0,2.0,2.0,65.0
346,Plot  Area,3 BHK,1350.0,2.0,0.0,140.0
347,Super built-up  Area,3 BHK,1260.0,3.0,1.0,49.36
348,Super built-up  Area,3 BHK,1800.0,3.0,0.0,150.0
349,Plot  Area,3 BHK,11.0,3.0,2.0,74.0
350,Built-up  Area,2 BHK,1100.0,2.0,1.0,43.25
351,Super built-up  Area,2 BHK,1508.0,2.0,1.0,77.0
352,Carpet  Area,3 BHK,1592.0,3.0,2.0,75.0
353,Super built-up  Area,2 BHK,1388.0,2.0,3.0,57.0
354,Super built-up  Area,1 BHK,630.0,1.0,1.0,28.35
355,Plot  Area,3 BHK,2000.0,3.0,2.0,365.0
356,Super built-up  Area,3 BHK,1762.0,3.0,1.0,125.0
357,Super built-up  Area,2 BHK,950.0,2.0,2.0,50.0
358,Super built-up  Area,4 BHK,3252.0,5.0,3.0,335.0
359,Super built-up  Area,2 BHK,1116.0,2.0,1.0,50.0
360,Super built-up  Area,2 BHK,1308.0,2.0,2.0,89.04
361,Super built-up  Area,3 BHK,1200.0,3.0,0.0,90.0
362,Plot  Area,4 BHK,1500.0,4.0,2.0,230.0
363,Built-up  Area,1 BHK,500.0,1.0,1.0,18.5
364,Super built-up  Area,2 BHK,1075.0,2.0,1.0,52.0
365,Super built-up  Area,1 BHK,530.0,1.0,0.0,11.66
366,Built-up  Area,2 BHK,1205.0,2.0,3.0,66.0
367,Super built-up  Area,2 BHK,1075.0,2.0,2.0,60.0
368,Built-up  Area,2 BHK,930.0,2.0,2.0,39.0
369,Super built-up  Area,2 BHK,1380.0,2.0,1.0,60.0
370,Super built-up  Area,4 BHK,2483.0,5.0,2.0,212.0
371,Built-up  Area,2 BHK,1166.0,2.0,2.0,55.0
372,Super built-up  Area,2 BHK,1050.0,2.0,1.0,65.0
373,Super built-up  Area,3 BHK,2023.71,3.0,2.0,275.0
374,Super built-up  Area,2 BHK,1200.0,2.0,2.0,46.8
375,Super built-up  Area,3 BHK,1600.0,2.0,1.0,108.0
376,Super built-up  Area,3 BHK,1935.0,3.0,2.0,110.0
377,Super built-up  Area,1 BHK,451.0,1.0,0.0,29.9
378,Super built-up  Area,3 BHK,1800.0,3.0,2.0,95.0
379,Super built-up  Area,3 BHK,1400.0,3.0,0.0,77.0
380,Super built-up  Area,3 BHK,1801.0,3.0,2.0,115.0
381,Built-up  Area,2 BHK,1451.0,2.0,,90.0
382,Plot  Area,2 BHK,1200.0,1.0,1.0,36.0
383,Super built-up  Area,2 BHK,1160.0,2.0,2.0,44.0
384,Built-up  Area,2 BHK,1000.0,2.0,1.0,25.0
385,Super built-up  Area,2 BHK,950.0,2.0,1.0,40.0
386,Built-up  Area,3 BHK,1629.0,3.0,2.0,79.0
387,Built-up  Area,3 BHK,1580.0,2.0,0.0,134.0
388,Super built-up  Area,3 BHK,1826.0,3.0,2.0,121.0
389,Built-up  Area,2 BHK,1245.0,2.0,1.0,94.0
390,Super built-up  Area,2 BHK,1145.0,2.0,2.0,45.79
391,Super built-up  Area,2 BHK,825.0,2.0,1.0,33.0
392,Super built-up  Area,3 BHK,1693.0,3.0,3.0,108.0
393,Super built-up  Area,2 BHK,1113.27,2.0,2.0,53.0
394,Built-up  Area,2 BHK,1460.0,2.0,1.0,58.0
395,Built-up  Area,2 BHK,1050.0,2.0,1.0,32.0
396,Built-up  Area,2 BHK,1260.0,2.0,2.0,55.0
397,Super built-up  Area,6 BHK,700.0,3.0,,120.0
398,Built-up  Area,2 BHK,1656.0,2.0,1.0,120.0
399,Super built-up  Area,3 BHK,1208.0,3.0,1.0,45.0
400,Super built-up  Area,3 BHK,1910.0,3.0,2.0,161.0
401,Super built-up  Area,4 BHK,3252.0,4.0,1.0,230.0
402,Plot  Area,2 BHK,1200.0,2.0,1.0,65.0
403,Super built-up  Area,4 BHK,1200.0,4.0,1.0,175.0
404,Super built-up  Area,2 BHK,1175.0,2.0,1.0,82.0
405,Plot  Area,2 BHK,1000.0,2.0,0.0,165.0
406,Plot  Area,4 BHK,1200.0,2.0,0.0,125.0
407,Super built-up  Area,3 BHK,2390.0,3.0,2.0,410.0
408,Super built-up  Area,7 BHK,12000.0,6.0,3.0,2200.0
409,Plot  Area,2 BHK,550.0,1.0,1.0,62.0
410,Super built-up  Area,1 BHK,,1.0,0.0,18.5
411,Super built-up  Area,2 BHK,1185.0,2.0,,38.0
412,Super built-up  Area,2 BHK,750.0,2.0,1.0,38.0
413,Plot  Area,6 BHK,1200.0,7.0,3.0,250.0
414,Super built-up  Area,3 BHK,1550.0,3.0,3.0,64.5
415,Built-up  Area,3 BHK,1760.0,3.0,2.0,88.0
416,Super built-up  Area,2 BHK,1125.0,2.0,2.0,62.0
417,Plot  Area,3 BHK,1350.0,3.0,2.0,150.0
418,Plot  Area,2 BHK,1000.0,2.0,1.0,55.0
419,Built-up  Area,2 BHK,1090.0,2.0,2.0,31.48
